time,temperature_C,humidity_percent,wind_speed_kmph,city,extracted_at
2025-12-09T00:00,16.2,67,3.3,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T01:00,16.1,63,3.0,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T02:00,15.9,59,2.9,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T03:00,15.6,58,3.4,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T04:00,15.5,57,3.2,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T05:00,15.3,63,2.6,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T06:00,15.0,63,2.0,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T07:00,15.7,63,2.0,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T08:00,18.7,61,2.6,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T09:00,21.9,47,8.8,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T10:00,24.3,40,11.2,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T11:00,26.2,36,12.9,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T12:00,27.5,32,14.3,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T13:00,28.3,27,14.5,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T14:00,28.5,24,14.6,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T15:00,28.1,23,13.9,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T16:00,27.0,24,13.0,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T17:00,24.5,29,8.9,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T18:00,21.8,37,7.1,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T19:00,19.7,44,5.6,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T20:00,18.1,49,4.9,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T21:00,17.1,52,4.5,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T22:00,16.5,53,4.3,Hyderabad,2025-12-09 11:27:44.684367
2025-12-09T23:00,16.2,54,3.5,Hyderabad,2025-12-09 11:27:44.684367
